lat,lon,Year,Month,precipf
35.25,-96.25,2009,8,5.0443973909849195e-05
35.25,-96.25,2009,9,6.349071192450339e-05
35.25,-96.25,2010,5,6.725850293171355e-05
35.25,-96.25,2010,6,4.965300609257063e-05
35.25,-96.25,2010,7,4.241309609338907e-05
35.25,-96.25,2010,8,3.174598515947978e-05
35.25,-96.25,2010,9,5.969916307204323e-05
35.25,-95.75,2006,5,5.6734111711784126e-05
35.25,-95.75,2006,6,3.741894709724155e-05
35.25,-95.75,2006,7,1.8522812296388962e-05
35.25,-95.75,2006,8,3.521471147187809e-05
35.25,-95.75,2006,9,3.814489393434428e-05
35.25,-95.75,2007,5,5.8162426987156695e-05
35.25,-95.75,2007,6,6.28672391341271e-05
35.25,-95.75,2007,7,4.748670094229506e-05
35.25,-95.75,2007,8,1.9626058732703476e-05
35.25,-95.75,2007,9,5.2258661507309514e-05
35.25,-95.75,2008,5,6.763137250965385e-05
35.25,-95.75,2008,6,7.505525791605313e-05
35.25,-95.75,2008,7,1.3537306727122936e-05
35.25,-95.75,2008,8,5.2655162414098544e-05
35.25,-95.75,2008,9,4.9085746900393254e-05
35.25,-95.75,2009,5,6.195966122035657e-05
35.25,-95.75,2009,6,2.4538818363950554e-05
35.25,-95.75,2009,7,3.368264086042649e-05
35.25,-95.75,2009,8,4.720841592366757e-05
35.25,-95.75,2009,9,6.67224079393853e-05
35.25,-95.75,2010,5,7.18382390606115e-05
35.25,-95.75,2010,6,5.631424437769203e-05
35.25,-95.75,2010,7,4.383910832277762e-05
35.25,-95.75,2010,8,3.008719445575984e-05
35.25,-95.75,2010,9,6.844165638553897e-05
35.25,-95.25,2006,5,5.7586162325475795e-05
35.25,-95.25,2006,6,4.091428993705885e-05
35.25,-95.25,2006,7,1.608496094457525e-05
35.25,-95.25,2006,8,3.292291422249673e-05
35.25,-95.25,2006,9,4.153575706891862e-05
35.25,-95.25,2007,5,4.992194112668312e-05
35.25,-95.25,2007,6,5.490901835768132e-05
35.25,-95.25,2007,7,4.1232034375943316e-05
35.25,-95.25,2007,8,1.8976689133807662e-05
35.25,-95.25,2007,9,5.7758729692973056e-05
35.25,-95.25,2008,5,6.739066314352268e-05
35.25,-95.25,2008,6,8.397687239578567e-05
35.25,-95.25,2008,7,1.8293517177754794e-05
35.25,-95.25,2008,8,5.313541469513528e-05
35.25,-95.25,2008,9,6.705179174532546e-05
35.25,-95.25,2009,5,6.350857308753865e-05
35.25,-95.25,2009,6,2.5338851258253452e-05
35.25,-95.25,2009,7,3.3960456731150655e-05
35.25,-95.25,2009,8,4.569696246991747e-05
35.25,-95.25,2009,9,7.628759539779426e-05
35.25,-95.25,2010,5,6.550332912906906e-05
35.25,-95.25,2010,6,6.155514312827028e-05
35.25,-95.25,2010,7,4.69100377127147e-05
35.25,-95.25,2010,8,3.485026449391895e-05
35.25,-95.25,2010,9,7.246303044048016e-05
35.25,-94.75,2006,5,5.833728272043279e-05
35.25,-94.75,2006,6,4.102845893309374e-05
35.25,-94.75,2006,7,1.5363910360202412e-05
35.25,-94.75,2006,8,3.3762648305454025e-05
35.25,-94.75,2006,9,4.320454713978942e-05
35.25,-94.75,2007,5,4.719717780736622e-05
35.25,-94.75,2007,6,4.678290038988564e-05
35.25,-94.75,2007,7,4.3371197206041755e-05
35.25,-94.75,2007,8,1.3525400723857217e-05
35.25,-94.75,2007,9,5.70006734051276e-05
35.25,-94.75,2008,5,5.6898670612139865e-05
35.25,-94.75,2008,6,8.602952524031279e-05
35.25,-94.75,2008,7,1.6923626199982778e-05
35.25,-94.75,2008,8,6.430100826539909e-05
35.25,-94.75,2008,9,7.804540085884377e-05
35.25,-94.75,2009,5,6.94435838747108e-05
35.25,-94.75,2009,6,2.7378140763871053e-05
35.25,-94.75,2009,7,4.049747548329208e-05
35.25,-94.75,2009,8,4.790719525804924e-05
35.25,-94.75,2009,9,7.472814149095501e-05
35.25,-94.75,2010,5,6.421537562651933e-05
35.25,-94.75,2010,6,5.639228443689881e-05
35.25,-94.75,2010,7,4.629879888746498e-05
35.25,-94.75,2010,8,3.4029185260654645e-05
35.25,-94.75,2010,9,6.842632714972122e-05
35.25,-94.25,2006,5,5.786291924783011e-05
35.25,-94.25,2006,6,3.39151508119843e-05
35.25,-94.25,2006,7,1.8437648459746654e-05
35.25,-94.25,2006,8,3.214596371710209e-05
35.25,-94.25,2006,9,4.036590488022777e-05
35.25,-94.25,2007,5,4.519509233221143e-05
35.25,-94.25,2007,6,4.44370438038059e-05
35.25,-94.25,2007,7,4.2985445914057336e-05
35.25,-94.25,2007,8,1.5439477128185237e-05
35.25,-94.25,2007,9,5.7459674010829076e-05
35.25,-94.25,2008,5,5.06801876466492e-05
35.25,-94.25,2008,6,9.28350521213132e-05
35.25,-94.25,2008,7,1.6667584817879387e-05
35.25,-94.25,2008,8,6.0381094621921555e-05
35.25,-94.25,2008,9,7.824352529400188e-05
35.25,-94.25,2009,5,6.750107769357049e-05
35.25,-94.25,2009,6,2.6130441822462085e-05
35.25,-94.25,2009,7,4.1167753175451776e-05
35.25,-94.25,2009,8,4.869315249397373e-05
35.25,-94.25,2009,9,6.81392916353423e-05
35.25,-94.25,2010,5,6.471611125023847e-05
35.25,-94.25,2010,6,5.3870330773527334e-05
35.25,-94.25,2010,7,5.7053265802381764e-05
35.25,-94.25,2010,8,3.190390833262679e-05
35.25,-94.25,2010,9,6.421188595483922e-05
35.25,-93.75,2006,5,5.96433955047543e-05
35.25,-93.75,2006,6,3.071745095126014e-05
35.25,-93.75,2006,7,2.3634241086294274e-05
35.25,-93.75,2006,8,3.134031255457339e-05
35.25,-93.75,2006,9,3.4984195267639964e-05
35.25,-93.75,2007,5,4.2900691267201025e-05
35.25,-93.75,2007,6,4.802780613877289e-05
35.25,-93.75,2007,7,4.32806975063219e-05
35.25,-93.75,2007,8,2.0475514306541883e-05
35.25,-93.75,2007,9,5.336277723202443e-05
35.25,-93.75,2008,5,4.529701346949045e-05
35.25,-93.75,2008,6,9.234219364569658e-05
35.25,-93.75,2008,7,1.9058866745390625e-05
35.25,-93.75,2008,8,5.317675976928989e-05
35.25,-93.75,2008,9,7.03034463284069e-05
35.25,-93.75,2009,5,7.087536876063206e-05
35.25,-93.75,2009,6,2.5744010511600616e-05
35.25,-93.75,2009,7,4.180307170373231e-05
35.25,-93.75,2009,8,4.615161688668475e-05
35.25,-93.75,2009,9,6.543018411045316e-05
35.25,-93.75,2010,5,6.691273846381082e-05
35.25,-93.75,2010,6,4.929255939734884e-05
35.25,-93.75,2010,7,4.794342298909125e-05
35.25,-93.75,2010,8,3.3700668573446015e-05
35.25,-93.75,2010,9,5.946156668789701e-05
35.25,-93.25,2006,5,5.560902104352661e-05
35.25,-93.25,2006,6,2.9576279244706662e-05
35.25,-93.25,2006,7,2.699982480593927e-05
35.25,-93.25,2006,8,3.168659012159526e-05
35.25,-93.25,2006,9,3.020799995058591e-05
35.25,-93.25,2007,5,4.0909218708097596e-05
35.25,-93.25,2007,6,5.1914092451355034e-05
35.25,-93.25,2007,7,4.077346080242063e-05
35.25,-93.25,2007,8,2.3469518141676495e-05
35.25,-93.25,2007,9,4.6891507258391604e-05
35.25,-93.25,2008,5,5.1086368426383855e-05
35.25,-93.25,2008,6,9.681366954004863e-05
35.25,-93.25,2008,7,2.2184677946292657e-05
35.25,-93.25,2008,8,4.511097491997817e-05
35.25,-93.25,2008,9,6.930451263603375e-05
35.25,-93.25,2009,5,6.931602669251765e-05
35.25,-93.25,2009,6,2.6593769356934396e-05
35.25,-93.25,2009,7,3.908725641580652e-05
35.25,-93.25,2009,8,4.354374227846523e-05
35.25,-93.25,2009,9,6.094852860351757e-05
35.25,-93.25,2010,5,7.431182301721756e-05
35.25,-93.25,2010,6,5.659470986329723e-05
35.25,-93.25,2010,7,5.620549701135493e-05
35.25,-93.25,2010,8,5.164169877812752e-05
35.25,-93.25,2010,9,4.663825882366904e-05
35.25,-92.75,2006,5,5.432679723682554e-05
35.25,-92.75,2006,6,2.6542439848142864e-05
35.25,-92.75,2006,7,2.9320067540542397e-05
35.25,-92.75,2006,8,3.066317551004444e-05
35.25,-92.75,2006,9,2.61932817475774e-05
35.25,-92.75,2007,5,4.109855876439066e-05
35.25,-92.75,2007,6,5.182759456114165e-05
35.25,-92.75,2007,7,3.794875536214471e-05
35.25,-92.75,2007,8,2.6499166515859066e-05
35.25,-92.75,2007,9,4.452135039277512e-05
35.25,-92.75,2008,5,5.3710984420056945e-05
35.25,-92.75,2008,6,8.783371817752497e-05
35.25,-92.75,2008,7,2.4140965925945416e-05
35.25,-92.75,2008,8,3.6282854512865085e-05
35.25,-92.75,2008,9,6.713118253152476e-05
35.25,-92.75,2009,5,6.811379886185349e-05
35.25,-92.75,2009,6,2.616420071002897e-05
35.25,-92.75,2009,7,3.9134255579363935e-05
35.25,-92.75,2009,8,3.698538243908949e-05
35.25,-92.75,2009,9,6.106476958327693e-05
35.25,-92.75,2010,5,7.512421012977223e-05
35.25,-92.75,2010,6,5.09763067393091e-05
35.25,-92.75,2010,7,5.1716201008908e-05
35.25,-92.75,2010,8,2.9752053359150956e-05
35.25,-92.75,2010,9,4.300343317234061e-05
35.25,-92.25,2006,5,4.599420697075855e-05
35.25,-92.25,2006,6,2.7871790954403507e-05
35.25,-92.25,2006,7,2.8687540274508286e-05
35.25,-92.25,2006,8,3.0776810696580936e-05
35.25,-92.25,2006,9,2.1272052370679972e-05
35.25,-92.25,2007,5,4.0969210504230556e-05
35.25,-92.25,2007,6,5.3694022499891264e-05
35.25,-92.25,2007,7,3.4638417813521156e-05
35.25,-92.25,2007,8,3.0166950371759712e-05
35.25,-92.25,2007,9,4.1365666625322225e-05
35.25,-92.25,2008,5,5.584689009644018e-05
35.25,-92.25,2008,6,9.00003323800469e-05
35.25,-92.25,2008,7,2.629609554251747e-05
35.25,-92.25,2008,8,2.9151309830433932e-05
35.25,-92.25,2008,9,6.351443012259881e-05
35.25,-92.25,2009,5,6.642316218228377e-05
35.25,-92.25,2009,6,2.5424475165329124e-05
35.25,-92.25,2009,7,3.855011332118676e-05
35.25,-92.25,2009,8,3.299636482027275e-05
35.25,-92.25,2009,9,6.15984198648978e-05
35.25,-92.25,2010,5,6.675177588360846e-05
35.25,-92.25,2010,6,5.2579558111964595e-05
35.25,-92.25,2010,7,4.363353494784145e-05
35.25,-92.25,2010,8,3.0093310027967672e-05
35.25,-92.25,2010,9,4.309245750394319e-05
35.25,-91.75,2006,5,3.902886650308801e-05
35.25,-91.75,2006,6,2.895274579461926e-05
35.25,-91.75,2006,7,2.631148911484111e-05
35.25,-91.75,2006,8,3.2520263950977605e-05
35.25,-91.75,2006,9,1.8367969063544838e-05
35.25,-91.75,2007,5,4.153805384875925e-05
35.25,-91.75,2007,6,5.022894355623346e-05
35.25,-91.75,2007,7,3.47339874057325e-05
35.25,-91.75,2007,8,3.349710612652753e-05
35.25,-91.75,2007,9,3.764884046448813e-05
35.25,-91.75,2008,5,6.153673964652327e-05
35.25,-91.75,2008,6,7.666866016841449e-05
35.25,-91.75,2008,7,2.9713227553847837e-05
35.25,-91.75,2008,8,2.9941780980667855e-05
35.25,-91.75,2008,9,6.301731796379643e-05
35.25,-91.75,2009,5,6.905819572155005e-05
35.25,-91.75,2009,6,2.5385419609384265e-05
35.25,-91.75,2009,7,3.8604370930144454e-05
35.25,-91.75,2009,8,3.270011134790959e-05
35.25,-91.75,2009,9,6.210237832314207e-05
35.25,-91.75,2010,5,7.052172588420649e-05
35.25,-91.75,2010,6,4.932744693075701e-05
35.25,-91.75,2010,7,4.455421687690943e-05
35.25,-91.75,2010,8,3.4090258970745226e-05
35.25,-91.75,2010,9,4.2511954642178554e-05
35.25,-91.25,2006,5,4.486511411822529e-05
35.25,-91.25,2006,6,2.7321702095317592e-05
35.25,-91.25,2006,7,2.5517605828906745e-05
35.25,-91.25,2006,8,3.3016123822678324e-05
35.25,-91.25,2006,9,1.7930902255673212e-05
35.25,-91.25,2007,5,4.1810959695869914e-05
35.25,-91.25,2007,6,3.898649221210822e-05
35.25,-91.25,2007,7,3.448089503879737e-05
35.25,-91.25,2007,8,3.2979037776215137e-05
35.25,-91.25,2007,9,3.246410260094497e-05
35.25,-91.25,2008,5,7.136269546320807e-05
35.25,-91.25,2008,6,5.534465858344125e-05
35.25,-91.25,2008,7,3.137286243893831e-05
35.25,-91.25,2008,8,3.735012951538638e-05
35.25,-91.25,2008,9,6.543664294299881e-05
35.25,-91.25,2009,5,7.033153094115179e-05
35.25,-91.25,2009,6,2.7770785098309623e-05
35.25,-91.25,2009,7,3.9118581716983896e-05
35.25,-91.25,2009,8,3.4947846434225806e-05
35.25,-91.25,2009,9,7.103372295550313e-05
35.25,-91.25,2010,5,7.729133901254379e-05
35.25,-91.25,2010,6,4.4134420973750056e-05
35.25,-91.25,2010,7,4.560158733769361e-05
35.25,-91.25,2010,8,3.543051221050723e-05
35.25,-91.25,2010,9,4.4898296509134536e-05
35.25,-90.75,2006,5,4.565066810713695e-05
35.25,-90.75,2006,6,2.24738731779676e-05
35.25,-90.75,2006,7,2.1137787071886982e-05
35.25,-90.75,2006,8,2.801344759643002e-05
35.25,-90.75,2006,9,1.5785058826385998e-05
35.25,-90.75,2007,5,4.158138257858193e-05
35.25,-90.75,2007,6,2.9962101743900386e-05
35.25,-90.75,2007,7,3.146996013240809e-05
35.25,-90.75,2007,8,2.731606895809496e-05
35.25,-90.75,2007,9,2.6531067674007146e-05
35.25,-90.75,2008,5,7.950733249316041e-05
35.25,-90.75,2008,6,4.029460910916309e-05
35.25,-90.75,2008,7,2.9301449915781547e-05
35.25,-90.75,2008,8,3.748302413057512e-05
35.25,-90.75,2008,9,6.356819504614089e-05
35.25,-90.75,2009,5,6.657216452436139e-05
35.25,-90.75,2009,6,2.705241457426529e-05
35.25,-90.75,2009,7,3.217566015332257e-05
35.25,-90.75,2009,8,2.907831864517435e-05
35.25,-90.75,2009,9,7.146834578793809e-05
35.25,-90.75,2010,5,7.719926869662791e-05
35.25,-90.75,2010,6,4.0641382723811464e-05
35.25,-90.75,2010,7,3.54298742360406e-05
35.25,-90.75,2010,8,3.1370053998032885e-05
35.25,-90.75,2010,9,3.781807986878693e-05
35.25,-90.25,2006,5,4.467661577108622e-05
35.25,-90.25,2006,6,2.5739763308389266e-05
35.25,-90.25,2006,7,2.4604363478605392e-05
35.25,-90.25,2006,8,2.464497082814566e-05
35.25,-90.25,2006,9,1.412234964492202e-05
35.25,-90.25,2007,5,3.992313318277748e-05
35.25,-90.25,2007,6,3.0004320396651944e-05
35.25,-90.25,2007,7,3.5298074201529246e-05
35.25,-90.25,2007,8,2.3699205673810205e-05
35.25,-90.25,2007,9,2.2033828315048964e-05
35.25,-90.25,2008,5,8.69696856025688e-05
35.25,-90.25,2008,6,3.039097402677271e-05
35.25,-90.25,2008,7,3.4737396737560105e-05
35.25,-90.25,2008,8,4.02133034666541e-05
35.25,-90.25,2008,9,6.29151166941521e-05
35.25,-90.25,2009,5,6.933336908842407e-05
35.25,-90.25,2009,6,3.1987662364378146e-05
35.25,-90.25,2009,7,3.735610909339654e-05
35.25,-90.25,2009,8,2.5816626279572298e-05
35.25,-90.25,2009,9,7.289055429454203e-05
35.25,-90.25,2010,5,6.792764186662638e-05
35.25,-90.25,2010,6,4.375617401205697e-05
35.25,-90.25,2010,7,3.937243003271144e-05
35.25,-90.25,2010,8,5.2406097218728726e-05
35.25,-90.25,2010,9,3.525904206165993e-05
35.25,-89.75,2006,5,4.1074017327837455e-05
35.25,-89.75,2006,6,2.6823506659168217e-05
35.25,-89.75,2006,7,2.9432262762630138e-05
35.25,-89.75,2006,8,2.1534066553976066e-05
35.25,-89.75,2006,9,1.4220474522907978e-05
35.25,-89.75,2007,5,3.959764460412151e-05
35.25,-89.75,2007,6,3.0463380077527803e-05
35.25,-89.75,2007,7,4.0804672970238696e-05
35.25,-89.75,2007,8,1.959428137472551e-05
35.25,-89.75,2007,9,2.0502051840913064e-05
35.25,-89.75,2008,5,9.103785167691706e-05
35.25,-89.75,2008,6,2.4945159176207692e-05
35.25,-89.75,2008,7,4.955989410189298e-05
35.25,-89.75,2008,8,3.93680190842331e-05
35.25,-89.75,2008,9,6.975012012919724e-05
35.25,-89.75,2009,5,6.556903542961811e-05
35.25,-89.75,2009,6,3.340733381416901e-05
35.25,-89.75,2009,7,4.369993036464294e-05
35.25,-89.75,2009,8,2.0432757345616664e-05
35.25,-89.75,2009,9,8.408904645079712e-05
35.25,-89.75,2010,5,6.228420945218817e-05
35.25,-89.75,2010,6,5.838914118690977e-05
35.25,-89.75,2010,7,5.4475447206899045e-05
35.25,-89.75,2010,8,4.995362112840004e-05
35.25,-89.75,2010,9,3.395309219271323e-05
35.25,-89.25,2006,5,4.484149555322904e-05
35.25,-89.25,2006,6,2.7688225949636564e-05
35.25,-89.25,2006,7,2.910290739100949e-05
35.25,-89.25,2006,8,2.43919780741879e-05
35.25,-89.25,2006,9,1.829879818947925e-05
35.25,-89.25,2007,5,4.0418197859399964e-05
35.25,-89.25,2007,6,3.017040182179779e-05
35.25,-89.25,2007,7,3.7765581759178105e-05
35.25,-89.25,2007,8,1.9072863279272347e-05
35.25,-89.25,2007,9,2.078400426184975e-05
35.25,-89.25,2008,5,9.179524622519998e-05
35.25,-89.25,2008,6,2.324521500088513e-05
35.25,-89.25,2008,7,4.9320060922941966e-05
35.25,-89.25,2008,8,3.935519918821659e-05
35.25,-89.25,2008,9,6.558342648319433e-05
35.25,-89.25,2009,5,7.09312049376617e-05
35.25,-89.25,2009,6,3.6852536754405915e-05
35.25,-89.25,2009,7,4.503513095080906e-05
35.25,-89.25,2009,8,2.054406378165606e-05
35.25,-89.25,2009,9,9.497214384181803e-05
35.25,-89.25,2010,5,6.930669249859481e-05
35.25,-89.25,2010,6,6.483980730375415e-05
35.25,-89.25,2010,7,5.3520194141695886e-05
35.25,-89.25,2010,8,4.921063180106087e-05
35.25,-89.25,2010,9,3.741418890693988e-05
